What is the capital of Italy?,Rome,4,Paris,Berlin,Madrid,Lisbon
Which gas do plants absorb from the atmosphere?,Carbon Dioxide,4,Oxygen,Nitrogen,Helium,Hydrogen
Who is known as the Father of Geometry?,Euclid,4,Aristotle,Plato,Pythagoras,Archimedes
What is the tallest mountain in the world?,Mount Everest,4,K2,Kangchenjunga,Lhotse,Makalu
Who painted the ceiling of the Sistine Chapel?,Michelangelo,4,Leonardo da Vinci,Raphael,Donatello,Sandro Botticelli
What is the chemical symbol for Sodium?,Na,4,So,Sn,Sm,Nd
Which country is known as the Land of the Rising Sun?,Japan,4,China,South Korea,Thailand,Vietnam
Who developed the theory of relativity?,Albert Einstein,4,Isaac Newton,Nikola Tesla,Galileo Galilei,Stephen Hawking
What is the largest desert in the world?,Antarctic,4,Sahara,Gobi,Arctic,Patagonian
Who is the author of '1984'?,George Orwell,4,Aldous Huxley,Ray Bradbury,J.D. Salinger,Ernest Hemingway
What is the hardest natural substance on Earth?,Diamond,4,Gold,Iron,Platinum,Silver
Which river is the longest in the world?,Nile,4,Amazon,Yangtze,Mississippi,Congo
Who composed the Four Seasons?,Antonio Vivaldi,4,Johann Sebastian Bach,Wolfgang Amadeus Mozart,Ludwig van Beethoven,Franz Schubert
What is the currency of Japan?,Yen,4,Yuan,Won,Euro,Peso
Which planet has the most moons?,Saturn,4,Earth,Mars,Jupiter,Uranus
Who discovered penicillin?,Alexander Fleming,4,Marie Curie,Gregor Mendel,Louis Pasteur,Joseph Lister
What is the largest mammal?,Blue Whale,4,Elephant,Rhinoceros,Hippopotamus,Giraffe
Which language is the most spoken worldwide?,Mandarin,4,English,Spanish,French,Hindi
Who is known for the theory of evolution by natural selection?,Charles Darwin,4,Gregor Mendel,Alfred Wallace,Thomas Huxley,Jean-Baptiste Lamarck
What is the smallest country in the world?,Vatican City,4,Monaco,San Marino,Liechtenstein,Malta
Who painted 'Starry Night'?,Vincent van Gogh,4,Claude Monet,Edgar Degas,Paul Cézanne,Pierre-Auguste Renoir
What is the boiling point of water in Celsius?,100,4,50,90,120,150
Which continent is the Sahara Desert located in?,Africa,4,Asia,Europe,Australia,South America
Who is the Greek god of the sea?,Poseidon,4,Zeus,Hades,Ares,Apollo
What is the process by which plants make their food?,Photosynthesis,4,Respiration,Digestion,Transpiration,Evaporation
Which country gifted the Statue of Liberty to the USA?,France,4,Germany,Spain,Italy,Netherlands
Who is the author of 'Pride and Prejudice'?,Jane Austen,4,Emily Brontë,Charlotte Brontë,George Eliot,Virginia Woolf
What is the chemical symbol for Gold?,Au,4,Gd,G,Ag,Go
Which planet is closest to the sun?,Mercury,4,Venus,Earth,Mars,Jupiter
Who invented the telephone?,Alexander Graham Bell,4,Thomas Edison,Nikola Tesla,Guglielmo Marconi,James Watt
What is the main gas found in the air we breathe?,Nitrogen,4,Oxygen,Carbon Dioxide,Hydrogen,Helium
Which ocean is between Africa and Australia?,Indian,4,Atlantic,Arctic,Pacific,Southern
Who wrote 'The Odyssey'?,Homer,4,Socrates,Plato,Aristotle,Euripides
What is the freezing point of water in Fahrenheit?,32,4,0,100,212,50
Which country has the most population?,China,4,India,USA,Indonesia,Brazil
Who painted 'The Last Supper'?,Leonardo da Vinci,4,Raphael,Michelangelo,Donatello,Caravaggio
What is the largest planet in our solar system?,Jupiter,4,Earth,Saturn,Mars,Uranus
Which element has the chemical symbol 'Fe'?,Iron,4,Lead,Tin,Silver,Gold
Who is known as the King of Pop?,Michael Jackson,4,Elvis Presley,Prince,Freddie Mercury,David Bowie
