What is the capital of Italy?,Rome,Paris,Berlin,Madrid,Lisbon,A
Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Helium,Hydrogen,C
Who is known as the Father of Geometry?,Aristotle,Euclid,Plato,Pythagoras,Archimedes,B
What is the tallest mountain in the world?,K2,Mount Everest,Kangchenjunga,Lhotse,Makalu,B
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Leonardo da Vinci,Raphael,Donatello,Sandro Botticelli,A
What is the chemical symbol for Sodium?,Na,So,Sn,Sm,Nd,A
Which country is known as the Land of the Rising Sun?,China,South Korea,Japan,Thailand,Vietnam,C
Who developed the theory of relativity?,Isaac Newton,Nikola Tesla,Albert Einstein,Galileo Galilei,Stephen Hawking,C
What is the largest desert in the world?,Sahara,Gobi,Arctic,Antarctic,Patagonian,D
Who is the author of '1984'?,Aldous Huxley,George Orwell,Ray Bradbury,J.D. Salinger,Ernest Hemingway,B
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Platinum,Silver,C
Which river is the longest in the world?,Nile,Amazon,Yangtze,Mississippi,Congo,A
Who composed the Four Seasons?,Johann Sebastian Bach,Antonio Vivaldi,Wolfgang Amadeus Mozart,Ludwig van Beethoven,Franz Schubert,B
What is the currency of Japan?,Yuan,Won,Yen,Euro,Peso,C
Which planet has the most moons?,Earth,Mars,Jupiter,Saturn,Uranus,D
Who discovered penicillin?,Marie Curie,Alexander Fleming,Gregor Mendel,Louis Pasteur,Joseph Lister,B
What is the largest mammal?,Elephant,Rhinoceros,Hippopotamus,Blue Whale,Giraffe,D
Which language is the most spoken worldwide?,English,Spanish,Mandarin,French,Hindi,C
Who is known for the theory of evolution by natural selection?,Charles Darwin,Gregor Mendel,Alfred Wallace,Thomas Huxley,Jean-Baptiste Lamarck,A
What is the smallest country in the world?,Monaco,San Marino,Liechtenstein,Malta,Vatican City,E
Who painted 'Starry Night'?,Claude Monet,Edgar Degas,Paul Cézanne,Vincent van Gogh,Pierre-Auguste Renoir,D
What is the boiling point of water in Celsius?,50,90,100,120,150,C
Which continent is the Sahara Desert located in?,Asia,Europe,Africa,Australia,South America,C
Who is the Greek god of the sea?,Zeus,Hades,Poseidon,Ares,Apollo,C
What is the process by which plants make their food?,Respiration,Digestion,Photosynthesis,Transpiration,Evaporation,C
Which country gifted the Statue of Liberty to the USA?,Germany,France,Spain,Italy,Netherlands,B
Who is the author of 'Pride and Prejudice'?,Emily Brontë,Charlotte Brontë,Jane Austen,George Eliot,Virginia Woolf,C
What is the chemical symbol for Gold?,Gd,G,Au,Ag,Go,C
Which planet is closest to the sun?,Venus,Mercury,Earth,Mars,Jupiter,B
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Guglielmo Marconi,James Watt,A
What is the main gas found in the air we breathe?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,Helium,B
Which ocean is between Africa and Australia?,Atlantic,Arctic,Indian,Pacific,Southern,C
Who wrote 'The Odyssey'?,Socrates,Plato,Homer,Aristotle,Euripides,C
What is the freezing point of water in Fahrenheit?,32,0,100,212,50,A
Which country has the most population?,India,USA,China,Indonesia,Brazil,C
Who painted 'The Last Supper'?,Raphael,Leonardo da Vinci,Michelangelo,Donatello,Caravaggio,B
What is the largest planet in our solar system?,Earth,Saturn,Jupiter,Mars,Uranus,C
Which element has the chemical symbol 'Fe'?,Lead,Tin,Iron,Silver,Gold,C
Who is known as the King of Pop?,Elvis Presley,Michael Jackson,Prince,Freddie Mercury,David Bowie,B
What is the capital of Australia?,Sydney,Melbourne,Perth,Canberra,Brisbane,D
Which country is famous for tulips and windmills?,Belgium,Netherlands,Denmark,Sweden,Norway,B
Who wrote 'The Divine Comedy'?,Dante Alighieri,Giovanni Boccaccio,Petrarch,Thomas Aquinas,Niccolò Machiavelli,A
What is the most abundant gas in Earth's atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Argon,Neon,B
Which river flows through London?,Thames,Seine,Rhine,Danube,Volga,A
Who is the founder of Microsoft?,Steve Jobs,Bill Gates,Mark Zuckerberg,Larry Page,Jeff Bezos,B
What is the largest bone in the human body?,Humerus,Femur,Tibia,Radius,Ulna,B
Which continent is the Amazon Rainforest located in?,Africa,Asia,South America,North America,Australia,C
Who composed 'Fur Elise'?,Johann Sebastian Bach,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Franz Schubert,Antonio Vivaldi,B
What is the currency of the United Kingdom?,Euro,Dollar,Pound Sterling,Yen,Franc,C
Which planet is known for its rings?,Mars,Jupiter,Saturn,Uranus,Neptune,C
Who discovered gravity when an apple fell on his head?,Albert Einstein,Galileo Galilei,Isaac Newton,Nikola Tesla,Stephen Hawking,C
What is the main language spoken in Brazil?,Spanish,Portuguese,English,French,Italian,B
Which country is home to the kangaroo?,New Zealand,Australia,South Africa,Canada,India,B
Who is known as the Bard of Avon?,Christopher Marlowe,William Shakespeare,Ben Jonson,John Donne,Edmund Spenser,B
What is the smallest continent?,Europe,Antarctica,Australia,South America,North America,C
Which element has the atomic number 1?,Oxygen,Helium,Hydrogen,Carbon,Nitrogen,C
Who painted 'The Persistence of Memory'?,Salvador Dalí,Pablo Picasso,Joan Miró,Frida Kahlo,Diego Rivera,A
What is the primary source of energy for Earth?,Moon,Sun,Stars,Wind,Geothermal,B
Which organ purifies blood in the human body?,Heart,Lungs,Liver,Stomach,Pancreas,C
Who wrote 'To Kill a Mockingbird'?,Harper Lee,Mark Twain,Ernest Hemingway,F. Scott Fitzgerald,John Steinbeck,A
What is the largest continent?,Africa,Asia,North America,South America,Europe,B
Which gas is essential for human respiration?,Nitrogen,Carbon Dioxide,Oxygen,Helium,Argon,C
Who is the Roman god of war?,Mars,Jupiter,Neptune,Venus,Saturn,A
What is the term for animals that eat both plants and meat?,Herbivores,Carnivores,Omnivores,Insectivores,Detritivores,C
Which city is known as the Big Apple?,Los Angeles,Chicago,New York City,Boston,San Francisco,C
Who developed the polio vaccine?,Alexander Fleming,Jonas Salk,Louis Pasteur,Edward Jenner,Robert Koch,B
What is the process of water cycle from plants to atmosphere?,Transpiration,Evaporation,Condensation,Precipitation,Sublimation,A
Which country is famous for the pyramids?,Greece,Peru,Egypt,Mexico,China,C
Who wrote 'The Raven'?,Robert Frost,Edgar Allan Poe,Walt Whitman,Emily Dickinson,Henry Wadsworth Longfellow,B
What is the largest internal organ in the human body?,Heart,Liver,Lungs,Stomach,Kidneys,B
Which planet is known as the Earth's twin?,Mars,Jupiter,Venus,Saturn,Neptune,C
Who is the author of 'The Lord of the Rings'?,J.K. Rowling,C.S. Lewis,J.R.R. Tolkien,George R.R. Martin,Philip Pullman,C
What is the primary gas in the sun?,Oxygen,Hydrogen,Carbon Dioxide,Helium,Nitrogen,B
Which city hosted the 2008 Summer Olympics?,Beijing,London,Rio de Janeiro,Athens,Sydney,A
Who discovered the circulation of blood?,Louis Pasteur,William Harvey,Edward Jenner,Alexander Fleming,Joseph Lister,B
What is the capital of Canada?,Toronto,Ottawa,Vancouver,Montreal,Calgary,B
Which instrument measures atmospheric pressure?,Thermometer,Barometer,Hygrometer,Anemometer,Altimeter,B
Who wrote 'The Catcher in the Rye'?,J.D. Salinger,F. Scott Fitzgerald,Ernest Hemingway,John Steinbeck,Mark Twain,A
What is the largest type of deer?,Reindeer,White-tailed deer,Moose,Elk,Red deer,C
Which chemical element has the symbol 'K'?,Calcium,Potassium,Iron,Sodium,Copper,B
Who painted 'Guernica'?,Pablo Picasso,Salvador Dalí,Joan Miró,Diego Rivera,Henri Matisse,A
What is the term for a word that is the same forwards and backwards?,Anagram,Palindrome,Oxymoron,Alliteration,Metaphor,B
Which country is known as the Land of a Thousand Lakes?,Norway,Sweden,Finland,Canada,Russia,C
Who is the Greek goddess of love?,Hera,Athena,Artemis,Aphrodite,Demeter,D
What is the process by which cells divide?,Photosynthesis,Mitosis,Meiosis,Respiration,Transpiration,B
Which river is the longest in Europe?,Danube,Volga,Rhine,Seine,Elbe,B
Who invented the World Wide Web?,Bill Gates,Tim Berners-Lee,Steve Jobs,Mark Zuckerberg,Larry Page,B
What is the largest landlocked country?,Kazakhstan,Mongolia,Niger,Chad,Bolivia,A
Which instrument has keys， pedals， and strings?,Guitar,Violin,Piano,Flute,Drums,C
Who wrote 'The Great Gatsby'?,Ernest Hemingway,F. Scott Fitzgerald,John Steinbeck,Mark Twain,J.D. Salinger,B
What is the smallest unit of life?,Organ,Tissue,Cell,Organism,Organ System,C
Which ocean is the deepest?,Atlantic,Indian,Pacific,Arctic,Southern,C
Who is the father of modern physics?,Albert Einstein,Isaac Newton,Galileo Galilei,Nikola Tesla,Stephen Hawking,A
What is the capital of Egypt?,Cairo,Alexandria,Giza,Luxor,Aswan,A
Which planet has a day longer than its year?,Mercury,Venus,Mars,Jupiter,Saturn,B
Who wrote 'Les Misérables'?,Victor Hugo,Gustave Flaubert,Émile Zola,Alexandre Dumas,Honoré de Balzac,A
What is the most abundant element in the universe?,Helium,Oxygen,Hydrogen,Carbon,Nitrogen,C
Which country has the most volcanoes?,Japan,Indonesia,USA,Philippines,Italy,B
Who painted 'The Birth of Venus'?,Sandro Botticelli,Leonardo da Vinci,Raphael,Michelangelo,Caravaggio,A
What is the process of converting liquid to gas?,Condensation,Sublimation,Evaporation,Deposition,Precipitation,C
Which organelle is known as the powerhouse of the cell?,Nucleus,Ribosome,Mitochondria,Chloroplast,Golgi Apparatus,C
Who is the main author of the Declaration of Independence?,Benjamin Franklin,John Adams,Thomas Jefferson,James Madison,Alexander Hamilton,C
What is the capital of Thailand?,Bangkok,Phuket,Chiang Mai,Patong,Pattaya,A
Which gas is used in balloons to make them float?,Hydrogen,Helium,Nitrogen,Oxygen,Argon,B
Who wrote 'The Iliad'?,Homer,Virgil,Ovid,Sophocles,Euripides,A
What is the largest island in the world?,Madagascar,Borneo,Greenland,New Guinea,Iceland,C
Which planet is known for its Great Red Spot?,Mars,Jupiter,Saturn,Uranus,Neptune,B
Who is the first woman to win a Nobel Prize?,Marie Curie,Jane Addams,Irène Joliot-Curie,Bertha von Suttner,Malala Yousafzai,A
What is the hardest rock?,Marble,Granite,Diamond,Quartz,Sapphire,C
Which city is known as the City of Love?,Venice,Paris,Rome,Barcelona,Prague,B
Who composed the opera 'The Magic Flute'?,Ludwig van Beethoven,Johann Sebastian Bach,Wolfgang Amadeus Mozart,Giuseppe Verdi,Richard Wagner,C
What is the smallest particle of an element?,Molecule,Atom,Electron,Proton,Neutron,B
Which country is called the Land of Fire and Ice?,Iceland,Greenland,Norway,Finland,Sweden,A
Who wrote 'War and Peace'?,Leo Tolstoy,Fyodor Dostoevsky,Anton Chekhov,Ivan Turgenev,Nikolai Gogol,A
What is the term for animals active during the day?,Nocturnal,Diurnal,Crepuscular,Matutinal,Vespertine,B
Which river runs through Paris?,Thames,Danube,Rhine,Seine,Elbe,D
Who is the Greek god of the underworld?,Zeus,Hades,Poseidon,Ares,Apollo,B
What is the chemical formula for table salt?,NaCl,H2O,CO2,O2,C6H12O6,A
Which desert covers much of northern Africa?,Gobi,Kalahari,Atacama,Sahara,Sonoran,D
Who is the author of 'A Brief History of Time'?,Carl Sagan,Neil deGrasse Tyson,Stephen Hawking,Richard Feynman,Brian Greene,C
What is the tallest waterfall in the world?,Niagara Falls,Angel Falls,Victoria Falls,Iguazu Falls,Yosemite Falls,B
Which planet is known as the Morning Star?,Mars,Venus,Jupiter,Saturn,Mercury,B
Who painted 'The School of Athens'?,Leonardo da Vinci,Michelangelo,Raphael,Donatello,Sandro Botticelli,C
What is the study of fungi called?,Botany,Zoology,Mycology,Entomology,Ornithology,C
Which is the longest bone in the human body?,Humerus,Femur,Tibia,Fibula,Radius,B
Who wrote 'One Hundred Years of Solitude'?,Gabriel García Márquez,Jorge Luis Borges,Mario Vargas Llosa,Isabel Allende,Pablo Neruda,A
What is the most widely spoken language in South America?,English,Spanish,Portuguese,French,Dutch,B
Which organ is responsible for pumping blood?,Lungs,Brain,Heart,Liver,Kidneys,C
Who is known as the Maid of Orléans?,Queen Elizabeth I,Joan of Arc,Catherine the Great,Marie Antoinette,Anne Boleyn,B
What is the term for a baby kangaroo?,Calf,Pup,Joey,Fawn,Cub,C
Which country has the Maple Leaf as its national symbol?,USA,Canada,UK,Australia,New Zealand,B
Who wrote 'Crime and Punishment'?,Leo Tolstoy,Fyodor Dostoevsky,Anton Chekhov,Ivan Turgenev,Nikolai Gogol,B
What is the main component of the sun?,Helium,Oxygen,Carbon,Hydrogen,Nitrogen,D
Which city is famous for its canals?,Paris,Venice,London,Berlin,Barcelona,B
Who developed the theory of psychoanalysis?,Carl Jung,Sigmund Freud,Alfred Adler,Erik Erikson,Jean Piaget,B
What is the capital of Spain?,Barcelona,Madrid,Seville,Valencia,Bilbao,B
Which element has the highest atomic number?,Uranium,Plutonium,Oganesson,Lawrencium,Fermium,C
